1,Elda,Palumbo,1
2,Pacifico,Giordano,2
3,Avide,Guerra,3
4,Yago,Amato,4
5,Eustachio,Messina,5
6,DoViolante,Lombardo,6
7,Alighieri,Monti,7
8,Costanzo,Costa,8
9,Nazzareno,Barbieri,9
10,Max,Coppola,10
11,Adaline,Reichel,11
12,Santa,Prosacco,12
13,Noemy,Vandervort,13
14,Lexi,Conner,14
15,Gracie,Weber,15
16,Roscoe,Johns,16
17,Emmett,Lebsack,17
18,Keegan,Thiel,18
19,Wellington,Koelpin,19
20,Karley,Kiehn,20
21,Leslie,Moreno,21
22,Emma,Williams,22
23,Marcantonio,Galuppi,23
24,Martha,Davis,24
25,Kristen,Turner,25
26,Ashley,Castillo,21
27,Brittany,Morton,22
28,Alisha,Morton,6
29,Kara,Morton,5
30,Eric,Peterson,2
31,Nicole,Peterson,9
32,Derek,Smith,11
33,Tim,Johnson,20
34,Athelia,Cros,21
35,Aileen,Tran,13
36,Ashley,Trahn,13
37,Masha,Ikromova,1
38,Mia,Chen,14
39,Jenna,Antilla,17
40,Garrett,Garcia,16
